date,price,market_cap,total_volume,coin_id,symbol
2025-02-13,2736.2703136032396,329492522913.44,26503660438.845695,ethereum,ETH
2025-02-14,2675.7090007037627,322584072350.2765,18938191215.29619,ethereum,ETH
2025-02-15,2724.6698335873957,328399065363.05505,17416785872.704834,ethereum,ETH
2025-02-16,2692.8213863864253,324625278431.52954,8896321414.559013,ethereum,ETH
2025-02-17,2659.9017474093457,320529173059.00665,8757895115.47748,ethereum,ETH
2025-02-18,2741.9050800956124,330464530098.92377,24666373348.432693,ethereum,ETH
2025-02-19,2669.4945006896073,321688672383.7524,24353300611.506603,ethereum,ETH
2025-02-20,2714.8018364720533,327248168186.7616,13398586820.912325,ethereum,ETH
2025-02-21,2741.5933625994785,330517520397.0965,14550027648.522171,ethereum,ETH
2025-02-22,2658.3470942919384,320508273451.5576,31770375573.3895,ethereum,ETH
2025-02-23,2764.355233404291,333381856893.82196,17576653979.14654,ethereum,ETH
2025-02-24,2827.1844084879804,340712999974.1412,21394599890.269897,ethereum,ETH
2025-02-25,2503.103420098605,301769340440.05,31014455208.756138,ethereum,ETH
2025-02-26,2495.315451693047,301064649480.5458,42875934003.323944,ethereum,ETH
2025-02-27,2325.853934699374,280668025121.2334,28109120496.698666,ethereum,ETH
2025-02-28,2305.3229378029837,277936135130.74036,89259450649.58,ethereum,ETH
2025-03-01,2235.204208608959,269516471615.1616,32905594283.00643,ethereum,ETH
2025-03-02,2212.8243514969954,266823935338.2421,16103021679.018568,ethereum,ETH
2025-03-03,2517.3382391622977,303306117779.7704,37907412347.33495,ethereum,ETH
2025-03-04,2148.199533470228,259111889993.75626,33501080617.480988,ethereum,ETH
2025-03-05,2171.496943535016,261805780842.5489,35524086282.76523,ethereum,ETH
2025-03-06,2241.3841149187283,270490243838.00568,22236307931.758247,ethereum,ETH
2025-03-07,2202.3207363495417,265270135615.0983,19895800679.328133,ethereum,ETH
2025-03-08,2140.7498089428914,257899503839.8083,21716710066.08888,ethereum,ETH
2025-03-09,2199.9995000805707,265129957012.69815,11257666715.795546,ethereum,ETH
2025-03-10,2017.265460184326,243298514477.01385,17577023963.685375,ethereum,ETH
2025-03-11,1879.1231054991026,226713493940.29108,36577317615.21765,ethereum,ETH
2025-03-12,1921.3099227587034,232024934655.6445,30046602111.893852,ethereum,ETH
